parameter,baseline,swing,n_regimes,regime_start,regime_end,n_valid,regime,range
P_upstream,11,11.738078458256131,2,defect,oxide,9,oxide,global
P_upstream,12,12.632189553760911,2,defect,oxide,9,oxide,global
P_upstream,13,10.02287956898536,2,defect,oxide,9,oxide,global
P_upstream,14,11.574507430424253,2,defect,oxide,9,oxide,global
P_upstream,15,11.831360759731977,2,defect,oxide,9,oxide,global
P_upstream,16,12.289057798338698,2,defect,oxide,9,oxide,global
P_upstream,17,11.26304494200185,2,defect,oxide,9,oxide,global
P_upstream,18,12.055722221474367,3,defect,metal,9,oxide,global
P_upstream,19,11.75180043038312,2,defect,oxide,9,oxide,global
P_upstream,20,11.855368366856158,2,defect,oxide,9,oxide,global
P_upstream,21,10.170966147783924,2,defect,oxide,9,oxide,global
P_upstream,22,11.379040048943178,2,defect,oxide,9,oxide,global
P_upstream,23,10.498136674280746,2,defect,oxide,9,oxide,global
P_upstream,24,10.738906845732824,2,defect,oxide,9,oxide,global
f_pinhole,0,0.035612788543478345,1,oxide,oxide,9,oxide,global
f_pinhole,1,0.958440669350795,2,oxide,defect,9,oxide,global
f_pinhole,2,0.7585404024839392,2,oxide,defect,9,oxide,global
f_pinhole,3,0.07269961090724796,1,oxide,oxide,9,oxide,global
f_pinhole,4,0.2628718678410879,2,oxide,defect,9,oxide,global
f_pinhole,5,0.10529108681217411,1,oxide,oxide,9,oxide,global
f_pinhole,6,0.031223378525463575,1,oxide,oxide,9,oxide,global
f_pinhole,7,0.18243978760303883,1,oxide,oxide,9,oxide,global
f_pinhole,8,2.24433959123701,2,oxide,defect,9,oxide,global
f_pinhole,9,0.22461821889600622,1,oxide,oxide,9,oxide,global
f_pinhole,10,1.7575605942324541,2,oxide,defect,9,oxide,global
f_pinhole,11,0.10201963657975979,1,oxide,oxide,9,oxide,global
f_pinhole,12,0.11300001924298243,1,oxide,oxide,9,oxide,global
f_pinhole,13,1.684777045194299,2,oxide,defect,9,oxide,global
f_pinhole,14,0.22347572681870198,1,oxide,oxide,9,oxide,global
