regime,metric,parameter,pawn_median,delta,S1_givendata,n,floor,delta_over_floor,temperature_K
metal,flux,gb_thickness,0.06802907378956542,0.07858982551360844,0.00812948918116143,1494,0.0884554723353843,0.8884676486224655,1273.0
metal,flux,lattice_density,0.05736961267890353,0.04453709410194913,0.008797917716665228,1494,0.0884554723353843,0.503497329516076,1273.0
metal,flux,trap_dislocation_E_b,0.058473266668463565,0.09151359979695567,0.019972941898268527,1494,0.0884554723353843,1.0345725072833967,1273.0
metal,flux,trap_dislocation_N_T,0.06894540129196877,0.07862601561746317,0.008566675503919334,1494,0.0884554723353843,0.8888767822000639,1273.0
metal,flux,trap_gb_E_b,0.06143922445935869,0.08686318717444953,0.010714953268003306,1494,0.0884554723353843,0.9819990203104957,1273.0
metal,flux,trap_gb_N_T,0.05618671554225852,0.12220679958324732,0.008222372700248183,1494,0.0884554723353843,1.3815629079441554,1273.0
metal,flux,trap_vacancy_E_b,0.09939184029181602,0.09238955037364432,0.021023241424638257,1494,0.0884554723353843,1.0444752363465284,1273.0
metal,flux,trap_vacancy_N_T,0.13753897019846725,0.09665467243741377,0.12375368802117925,1494,0.0884554723353843,1.092692966139412,1273.0
metal,flux,trap_carbide_E_b,0.055998221072208296,0.06170666584079057,0.00887845511089745,1494,0.0884554723353843,0.6976014508952708,1273.0
metal,flux,trap_carbide_N_T,0.06973531710735559,0.06268506719355446,0.006682895258025388,1494,0.0884554723353843,0.7086623985894306,1273.0
metal,permeability,D_ref,0.0586057878044617,0.08157745144255896,0.003424270512259753,1494,0.08455694896266834,0.9647634220881737,1273.0
metal,permeability,E_D,0.06635490507892869,0.05340296437171072,0.010237493285114975,1494,0.08455694896266834,0.6315621013630468,1273.0
metal,permeability,K_s_ref,0.06976227055874504,0.07674617414824653,0.017639650569270703,1494,0.08455694896266834,0.9076270500503719,1273.0
metal,permeability,H_s,0.06366495063026154,0.0632636446914727,0.0028952873977007277,1494,0.08455694896266834,0.7481779495071827,1273.0
metal,permeability,D_ox_ref,0.09157210497470868,0.08229694114267617,0.03921635547988284,1494,0.08455694896266834,0.9732723584788998,1273.0
metal,permeability,E_D_ox,0.060260190650746163,0.06302007099433556,0.022656129418626433,1494,0.08455694896266834,0.7452973619253782,1273.0
metal,permeability,K_ox_ref,0.07007484075002471,0.05939494997384166,0.024424594932447197,1494,0.08455694896266834,0.7024254150899457,1273.0
metal,permeability,H_sol_ox,0.567161262499663,0.6208089857855963,0.9006865619075407,1494,0.08455694896266834,7.3419038104092635,1273.0
metal,permeability,metal_thickness,0.0618896166320764,0.08026781524098082,0.013111733236752179,1494,0.08455694896266834,0.9492752071319277,1273.0
metal,permeability,oxide_thickness,0.05786232177030269,0.07367644833320934,0.005955375277039044,1494,0.08455694896266834,0.8713234008211116,1273.0
metal,permeability,P_upstream,0.05638212806483203,0.07086681089162751,0.005271425121419922,1494,0.08455694896266834,0.8380956475016029,1273.0
metal,permeability,f_pinhole,0.054397994663216626,0.05947852820131455,0.007924889096844696,1494,0.08455694896266834,0.7034138403879042,1273.0
metal,permeability,f_crack,0.06344887379495612,0.06453980144038557,0.005168825880982079,1494,0.08455694896266834,0.7632702247674489,1273.0
metal,permeability,f_gb_defect,0.07802080806447266,0.0617700205163446,0.012684659633876204,1494,0.08455694896266834,0.7305138285395786,1273.0
metal,permeability,crack_thickness_factor,0.07477112027528458,0.07178865748393691,0.009280681265200732,1494,0.08455694896266834,0.8489977271487339,1273.0
metal,permeability,gb_diffusivity_factor,0.06240694320907792,0.06646447889114179,0.010728062352431591,1494,0.08455694896266834,0.7860321322672803,1273.0
metal,permeability,grain_size,0.06476842493014565,0.06913630265795778,0.02114986922149884,1494,0.08455694896266834,0.8176300529537941,1273.0
metal,permeability,gb_thickness,0.0807325049639273,0.07149945749798205,0.015220963472011377,1494,0.08455694896266834,0.8455775471457568,1273.0
metal,permeability,lattice_density,0.05570460814173922,0.039528175552197314,0.004369179474958691,1494,0.08455694896266834,0.4674740046456607,1273.0
