parameter,swing_med,swing_iqr,swing_max,frac_left_regime,regime,range
trap_gb_N_T,5.948936141163154e-13,3.788842616082018e-13,1.3070494481643584e-12,0.0,defect,global
trap_gb_E_b,1.491814590757679e-13,1.439740907563517e-13,3.8081291654172613e-13,0.0,defect,global
trap_dislocation_N_T,3.568011626247148e-15,2.603684159693849e-15,1.716502890464817e-14,0.0,defect,global
trap_dislocation_E_b,2.1215204264172266e-15,2.892982399659846e-15,7.6181869857709e-15,0.0,defect,global
P_upstream,7.6955798808169265,0.40314919062307464,8.253126910408275,0.12,defect,preset
D_ref,3.8606863893079435,0.3288297648458527,3.9996529451230125,0.36,defect,preset
K_s_ref,2.7381338154907864,0.39033423999461725,2.999910814280081,0.36,defect,preset
metal_thickness,0.884803528782371,0.153763180990674,0.9999332763502559,0.12,defect,preset
trap_vacancy_N_T,0.6210041916111542,0.17230567529256924,0.9881624908748176,0.04,defect,preset
H_sol_ox,0.5529613586479107,0.17254887069715558,0.945313117854728,0.36,defect,preset
trap_vacancy_E_b,0.36660073280067595,0.05014242299924221,0.5067759103597852,0.08,defect,preset
oxide_thickness,0.26366437284808963,0.35190988471319773,0.5075753107627624,0.28,defect,preset
D_ox_ref,0.1560192495557918,0.18449907523267284,0.349224891615127,0.08,defect,preset
lattice_density,0.11390723198926972,0.02332402455288797,0.1559323039934115,0.08,defect,preset
K_ox_ref,0.10240697308532985,0.12605753524870894,0.24503244453606976,0.08,defect,preset
H_s,0.07001711908683955,0.014489009598910113,0.08219881262702983,0.08,defect,preset
f_gb_defect,0.03612599950624434,0.07923545975818605,0.22367462230005303,0.36,defect,preset
f_pinhole,0.035486978782348494,0.19609973790648608,0.5924498938386406,0.36,defect,preset
gb_diffusivity_factor,0.03188038908602905,0.12885378012099039,0.23311597111044027,0.08,defect,preset
trap_carbide_N_T,0.02958786995009268,0.0375778492756065,0.1729351389595589,0.0,defect,preset
E_D,0.02859390223872953,0.006210830475482869,0.03355071476154376,0.04,defect,preset
trap_carbide_E_b,0.027880053718580915,0.029577711257955486,0.08759065603106077,0.04,defect,preset
f_crack,0.017282244552286226,0.031248807055290158,0.14567497977182298,0.36,defect,preset
crack_thickness_factor,0.01711580916152363,0.07944944605906062,0.17842104867305358,0.0,defect,preset
E_D_ox,0.010899532506157958,0.014005049770685812,0.031391000546395424,0.08,defect,preset
grain_size,7.154003476872681e-05,2.7333560041775478e-05,0.0001129150661242101,0.0,defect,preset
gb_thickness,2.5957657659107442e-06,3.1189005228097426e-06,6.523344441679715e-05,0.0,defect,preset
trap_gb_N_T,5.948936141163154e-13,3.788842616082018e-13,1.3070494481643584e-12,0.0,defect,preset
trap_gb_E_b,1.491814590757679e-13,1.439740907563517e-13,3.8081291654172613e-13,0.0,defect,preset
trap_dislocation_N_T,3.568011626247148e-15,2.603684159693849e-15,1.716502890464817e-14,0.0,defect,preset
trap_dislocation_E_b,2.1215204264172266e-15,2.892982399659846e-15,7.6181869857709e-15,0.0,defect,preset
P_upstream,8.083495080430577,0.25761997535521886,10.696015060869268,0.96,metal,global
D_ref,3.9989963886766278,0.003107369514269376,8.839876752240281,0.24,metal,global
K_s_ref,2.999729341904525,0.013149347360361219,8.643830527976688,0.2,metal,global
metal_thickness,0.9996603223925389,0.008869518787813724,0.9999998965487211,0.16,metal,global
trap_vacancy_N_T,0.7638689272812509,0.23734667046365465,0.9951431586073369,0.04,metal,global
trap_vacancy_E_b,0.3788464756175432,0.25129983254563126,0.5012430227218425,0.0,metal,global
D_ox_ref,0.22604946439728796,0.9416530734397526,1.6072287569592434,0.56,metal,global
lattice_density,0.11650512882021155,0.054861248344653224,0.15671621804615163,0.0,metal,global
H_s,0.08218645432713745,0.0004235508968404439,0.08220258804867113,0.0,metal,global
trap_carbide_E_b,0.04649062798729098,0.07678106866890863,0.17824610369138832,0.0,metal,global
oxide_thickness,0.04614124747958229,9.063645517287153,12.646673846164425,0.4,metal,global
trap_carbide_N_T,0.04357741780314893,0.07935096405824016,0.19425419133515304,0.0,metal,global
H_sol_ox,0.03989188662570877,0.07737606182421874,9.157452227417277,0.2,metal,global
E_D,0.03354565558233357,0.00018140875169365273,0.03355207224279917,0.0,metal,global
K_ox_ref,0.00016710754681016662,0.006292535567931505,0.16316391591928417,0.04,metal,global
grain_size,8.500159628434762e-05,4.035923313093883e-05,0.00012392162922891418,0.0,metal,global
E_D_ox,1.5322445672054213e-05,0.0003993241753694229,0.01129554218393173,0.0,metal,global
f_pinhole,1.02475659964474e-05,0.0002489469740570774,0.008349823601862417,0.0,metal,global
f_gb_defect,1.0000612263982104e-05,0.00024344845944559166,0.007941059618682085,0.0,metal,global
f_crack,5.977336004405698e-06,0.00019866971464063525,0.005845558290593852,0.0,metal,global
gb_diffusivity_factor,5.906018543863907e-06,0.00012544226657162976,0.007087397921423237,0.0,metal,global
crack_thickness_factor,4.687984074699956e-06,0.00011072312503474676,0.002573667108357507,0.0,metal,global
gb_thickness,4.07690704200415e-06,7.0284203488175715e-06,3.0016128740606356e-05,0.0,metal,global
