2.333333 5.333333 0.402957 Cr
3.333333 5.333333 0.402957 Ni
4.333333 5.333333 0.402957 Ni
5.000000 6.000000 0.597043 Ni
1.000000 6.000000 0.597043 Ni
2.000000 6.000000 0.597043 Mo
3.000000 6.000000 0.597043 Ni
4.000000 6.000000 0.597043 Ni
5.000000 1.000000 0.597043 Ni
1.000000 1.000000 0.597043 Ni
2.000000 1.000000 0.597043 Ni
3.000000 1.000000 0.597043 Ni
4.000000 1.000000 0.597043 Ni
5.000000 2.000000 0.597043 Fe
1.000000 2.000000 0.597043 Ni
2.000000 2.000000 0.597043 Ni
3.000000 2.000000 0.597043 Ni
4.000000 2.000000 0.597043 B
5.000000 3.000000 0.597043 Ni
1.000000 3.000000 0.597043 Ni
2.000000 3.000000 0.597043 Mo
3.000000 3.000000 0.597043 Cr
4.000000 3.000000 0.597043 Ni
5.000000 4.000000 0.597043 Ni
1.000000 4.000000 0.597043 Mo
2.000000 4.000000 0.597043 Fe
3.000000 4.000000 0.597043 Ni
4.000000 4.000000 0.597043 Ni
5.000000 5.000000 0.597043 Al
1.000000 5.000000 0.597043 Ni
2.000000 5.000000 0.597043 Mo
3.000000 5.000000 0.597043 Ni
4.000000 5.000000 0.597043 Ni
0.666667 0.666667 0.441774 Ni
1.666667 0.666667 0.441774 Ni
2.666667 0.666667 0.441774 Ni
3.666667 0.666667 0.441774 B
4.666667 0.666667 0.441774 Ni
0.666667 1.666667 0.441774 Ni
1.666667 1.666667 0.441774 Mo
2.666667 1.666667 0.441774 Ni
3.666667 1.666667 0.441774 Ni
4.666667 1.666667 0.441774 Ni
0.666667 2.666667 0.441774 Mo
1.666667 2.666667 0.441774 Fe
2.666667 2.666667 0.441774 Cr
3.666667 2.666667 0.441774 Ni
4.666667 2.666667 0.441774 Fe
0.666667 3.666667 0.441774 Al
1.666667 3.666667 0.441774 Ni
2.666667 3.666667 0.441774 Ni
3.666667 3.666667 0.441774 Ni
