D_ref,E_D,K_s_ref,H_s,D_ox_ref,E_D_ox,K_ox_ref,H_sol_ox,metal_thickness,oxide_thickness,P_upstream,f_pinhole,f_crack,f_gb_defect,crack_thickness_factor,gb_diffusivity_factor,grain_size,gb_thickness,lattice_density,trap_dislocation_E_b,trap_dislocation_N_T,trap_gb_E_b,trap_gb_N_T,trap_vacancy_E_b,trap_vacancy_N_T,trap_carbide_E_b,trap_carbide_N_T,temperature,k_diss_ref,E_diss,K_eq_ref,H_eq,k_diss_metal_ref,E_diss_metal,K_eq_metal_ref,H_eq_metal,Y_flux,Y_permeability,Y_theta
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,5000.0,0.0054884996674938675,8.528982310035427e-13,0.6080200638347669
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,0.06667,0.1,0.17333333333333337,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,5000.0,0.003202328378096784,8.528982310035427e-13,0.4724525754798405
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,0.06667,0.1,0.17333333333333337,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,50000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,5000.0,0.003202365264651764,8.528982310035427e-13,0.47246629080535046
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,0.06667,0.1,0.17333333333333337,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,806.3333333333334,3.1629658000000005e-06,50000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,5000.0,1.3123125556837293e-06,1.7345791890606695e-18,0.18584823287337524
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,0.06667,0.1,0.17333333333333337,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,806.3333333333334,3.1629658000000005e-06,50000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,1.3127239168647786e-06,1.7345791890606695e-18,0.18584823287337524
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,0.06667,0.1,0.17333333333333337,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,806.3333333333334,3.1629658000000005e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,1.3127239168652553e-06,1.7345791890606695e-18,2.7956741648810217e-05
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,0.06667,0.1,0.17333333333333337,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,1e+28,33333.33333333333,2e+27,806.3333333333334,3.1629658000000005e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,5.833919274122912e-07,1.7345781412784105e-18,2.795674164881151e-05
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,0.06667,0.1,0.5,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,1e+28,33333.33333333333,2e+27,806.3333333333334,3.1629658000000005e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,5.832726299955482e-07,1.7345781412784105e-18,2.795674164881151e-05
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,0.06667,0.1,0.5,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,3.1629658000000005e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,6.56972919975348e-07,1.7345783528965584e-18,2.7956741648811254e-05
1.4286190000000003e-07,66666.66666666667,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,0.06667,0.1,0.5,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,3.1629658000000005e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,1.293134427301962e-06,1.7345791764494959e-18,2.795674164881023e-05
