temperature,P_upstream,f_pinhole,k_diss_ref,metal_thickness,trap_dislocation_E_b,k_diss_metal_ref,K_s_ref,Y_flux,Y_permeability,Y_theta,regime_hit
764.9229174833488,1.557716300547161,0.020841559455198572,6.922836307629873e-09,0.0028183084606416718,20649.898768667306,9.264135429424067e-08,0.084736336745441,9.363067196815832e-11,4.1049888130373604e-16,0.00017364286342959624,surface
764.9229174833488,1.557716300547161,0.020841559455198572,6.922836307629873e-09,0.004695746812246341,18736.979560933214,9.264135429424067e-08,0.084736336745441,8.233097251062805e-11,4.1049888130373604e-16,0.00017768188386156337,surface
764.9229174833488,1.557716300547161,0.020841559455198572,6.922836307629873e-09,0.004695746812246341,20649.898768667306,7.531747208047015e-08,0.084736336745441,8.218552443681984e-11,4.1049888130373604e-16,0.00017768188386156337,surface
764.9229174833488,1.557716300547161,0.020841559455198572,6.922836307629873e-09,0.004695746812246341,20649.898768667306,9.264135429424067e-08,0.015538207818433127,5.1693382293813486e-11,4.102302056910422e-16,0.00020778723834453098,metal
764.9229174833488,1.557716300547161,0.020841559455198572,6.922836307629873e-09,0.004695746812246341,20649.898768667306,9.264135429424067e-08,0.084736336745441,8.233097251062802e-11,4.1049888130373604e-16,0.00017768188386156337,surface
939.0958068834254,1.2473036393510513,0.007149467494490254,6.270668006645333e-09,0.0033317958730463676,17624.008385524292,3.1551874908839356e-08,0.07173973385052074,5.420152064404946e-10,6.503439524421878e-14,1.3245625555149696e-05,surface
1081.6008982107608,1.2473036393510513,0.007149467494490254,6.270668006645333e-09,0.0033317958730463676,17624.008385524292,3.1551874908839356e-08,0.07173973385052074,1.7736365323650059e-09,1.218507215346306e-12,3.112820462103895e-06,surface
939.0958068834254,7.076163610700224,0.007149467494490254,6.270668006645333e-09,0.0033317958730463676,17624.008385524292,3.1551874908839356e-08,0.07173973385052074,2.7216479869512595e-09,6.503439524421878e-14,7.467974456783399e-05,surface
939.0958068834254,1.2473036393510513,0.05454517043540367,6.270668006645333e-09,0.0033317958730463676,17624.008385524292,3.1551874908839356e-08,0.07173973385052074,1.456441740429956e-09,6.503439524421878e-14,1.3245625555149696e-05,surface
939.0958068834254,1.2473036393510513,0.007149467494490254,5.879367026054609e-09,0.0033317958730463676,17624.008385524292,3.1551874908839356e-08,0.07173973385052074,5.170351665509328e-10,6.503439524421878e-14,1.242105904140193e-05,surface
939.0958068834254,1.2473036393510513,0.007149467494490254,6.270668006645333e-09,0.002128309750222862,17624.008385524292,3.1551874908839356e-08,0.07173973385052074,5.696331252499719e-10,6.503439524421878e-14,1.1733646941292017e-05,surface
939.0958068834254,1.2473036393510513,0.007149467494490254,6.270668006645333e-09,0.0033317958730463676,23988.81229489408,3.1551874908839356e-08,0.07173973385052074,5.420152064404943e-10,6.503439524421878e-14,1.3245625555149714e-05,surface
939.0958068834254,1.2473036393510513,0.007149467494490254,6.270668006645333e-09,0.0033317958730463676,17624.008385524292,1.0722988668478426e-07,0.07173973385052074,6.115589856857578e-10,6.503439524421878e-14,1.3245625555149696e-05,surface
939.0958068834254,1.2473036393510513,0.007149467494490254,6.270668006645333e-09,0.0033317958730463676,17624.008385524292,3.1551874908839356e-08,0.07349603153902347,5.436559475635826e-10,6.503535366576585e-14,1.3145638967711453e-05,surface
939.0958068834254,7.076163610700224,0.05454517043540367,5.879367026054609e-09,0.002128309750222862,23988.81229489408,1.0722988668478426e-07,0.07349603153902347,8.483407947766176e-09,6.503535366576585e-14,6.181584363213433e-05,metal
