regime,metric,parameter,pawn_median,delta,S1_givendata,n
surface,flux,K_eq_metal_ref,0.07600000000000001,0.09550616294949905,0.011889783767232825,1500
surface,flux,H_eq_metal,0.06066666666666667,0.07119732623503866,0.002698546454650578,1500
surface,permeability,D_ref,0.06,0.05906088482675582,0.009209831341056797,1500
surface,permeability,E_D,0.055,0.06290493807684379,0.009972951984529847,1500
surface,permeability,K_s_ref,0.05733333333333333,0.052459687173251786,0.005711470232923297,1500
surface,permeability,H_s,0.078,0.06818601200826312,0.02617827405674377,1500
surface,permeability,D_ox_ref,0.06966666666666665,0.06219482147823201,0.03227337184560797,1500
surface,permeability,E_D_ox,0.06366666666666666,0.06486317893738805,0.012167943606331682,1500
surface,permeability,K_ox_ref,0.065,0.07579604201025814,0.015728376836906234,1500
surface,permeability,H_sol_ox,0.278,0.25620170198778314,0.26759291058291845,1500
surface,permeability,metal_thickness,0.05333333333333333,0.04565855826183503,0.005778684557583738,1500
surface,permeability,oxide_thickness,0.09366666666666666,0.07183315607357571,0.017728285086560186,1500
surface,permeability,P_upstream,0.08681879194630873,0.09372184475220578,0.050624195155943026,1500
surface,permeability,f_pinhole,0.06866666666666667,0.0745705964524457,0.009187421208957424,1500
surface,permeability,f_crack,0.06366666666666666,0.08001399984607677,0.009774989703156368,1500
surface,permeability,f_gb_defect,0.08033333333333334,0.11567378998124311,0.009039587876213069,1500
surface,permeability,crack_thickness_factor,0.07247874720357941,0.05377212386272625,0.01275599606933549,1500
surface,permeability,gb_diffusivity_factor,0.06833333333333333,0.08283912893543963,0.007624466639096561,1500
surface,permeability,grain_size,0.06666666666666667,0.08764931850826384,0.005561938667883426,1500
surface,permeability,gb_thickness,0.07100000000000001,0.047259891962228816,0.008313227769218777,1500
surface,permeability,lattice_density,0.056666666666666664,0.08717018782062304,0.007043270581817169,1500
surface,permeability,trap_dislocation_E_b,0.06666666666666667,0.06580895841773078,0.0168503321461285,1500
surface,permeability,trap_dislocation_N_T,0.067,0.07982444082932406,0.007299847214383682,1500
surface,permeability,trap_gb_E_b,0.07633333333333334,0.08523158907176995,0.008444039521487286,1500
surface,permeability,trap_gb_N_T,0.059666666666666666,0.07699963389992673,0.012597009679141897,1500
surface,permeability,trap_vacancy_E_b,0.07362639821029082,0.06966210608529443,0.006958685771836289,1500
surface,permeability,trap_vacancy_N_T,0.082,0.0803708713140864,0.020666499903267962,1500
